,SalePrice,SqFt1stFloor,SqFtHalfFloor,SqFt2ndFloor,SqFtUpperFloor,SqFtTotLiving,SqFtTotBasement,SqFtFinBasement,SqFtGarageBasement,SqFtGarageAttached,DaylightBasement,SqFtOpenPorch,SqFtEnclosedPorch,SqFtDeck,BrickStone,Bedrooms,BathHalfCount,Bath3qtrCount,BathFullCount,YrBuilt,Longitude,Latitude,cluster
3818,689950,1010,0,1515,0,2525,0,0,0,400,0,167,0,0,0,4,1,0,2,2019,-122.1591821,47.4358173,4
3819,430000,1370,0,1630,0,3000,0,0,0,620,0,700,0,490,0,4,0,1,2,1958,-122.323361,47.3948056,4
3820,1875000,1600,0,1430,0,3030,0,0,0,0,0,90,0,0,0,4,0,0,3,2017,-122.19907,47.6895172,4
3821,389000,1350,0,0,0,2030,1250,680,570,0,0,40,0,370,0,3,1,1,1,1977,-122.249811,47.7732718,2
3822,820000,1180,0,990,0,2170,0,0,0,650,0,0,0,100,0,4,1,1,1,1974,-122.10384,47.6376774,4
3823,725000,1220,0,0,0,2440,1220,1220,0,0,0,0,250,250,25,5,0,0,2,1955,-122.3780059,47.5462118,2
3824,299950,910,0,0,0,910,0,0,0,340,0,20,0,210,0,2,0,0,1,1942,-122.2873825,47.4503723,3
3825,800000,780,0,1020,0,2580,780,780,0,400,1,160,0,0,0,4,0,0,3,2017,-122.2327597,47.5063753,4
3826,710000,1540,0,0,0,2190,1540,650,240,0,0,0,0,0,0,5,0,1,1,1942,-122.3780979,47.5252507,2
3827,1160000,1350,0,1420,0,2860,630,90,540,0,0,110,0,0,0,4,1,1,1,2016,-122.3664444,47.67036,4
3828,397000,1100,0,860,0,1960,0,0,0,480,0,0,0,0,0,4,1,1,1,1967,-122.2796658,47.3770372,3
3829,330000,790,0,790,0,1580,0,0,0,550,0,0,0,0,0,3,0,1,1,1983,-122.1623446,47.4785338,3
3830,620000,1320,0,1010,0,2330,0,0,0,480,0,0,0,190,0,4,1,1,1,1969,-122.3642717,47.7714738,3
3831,725000,1250,0,0,0,1250,0,0,0,0,0,110,0,0,0,3,1,0,1,1954,-122.1417873,47.5743089,3
3832,577000,1280,0,0,0,1980,1280,700,390,0,0,0,0,310,0,4,0,1,1,1960,-122.3737976,47.5053115,2
3833,453000,1810,0,0,0,3620,1810,1810,0,550,1,50,0,210,0,4,0,3,1,1978,-122.385079,47.3218112,2
3834,890000,1220,0,0,0,2080,1220,860,250,0,1,110,0,370,100,3,1,0,1,1941,-122.3556842,47.6693514,0
3835,676000,1031,0,1338,0,3322,953,953,0,399,0,65,0,96,0,5,1,1,2,2019,-122.1552405,47.4370759,4
3836,500000,990,0,0,0,1980,990,990,0,0,1,0,0,170,0,5,0,1,1,1959,-122.1502518,47.5723009,2
3837,314500,1250,0,0,0,1250,0,0,0,480,0,60,0,280,0,4,0,0,1,1963,-122.2784939,47.3392955,3
3838,649950,620,0,600,0,1570,600,350,250,0,1,0,0,310,0,3,1,1,1,2016,-122.3649572,47.679838,1
3839,617000,1110,0,0,0,1310,750,200,0,0,0,120,0,0,0,2,0,0,1,1909,-122.3631832,47.6781737,3
3840,380500,1190,0,0,0,2320,1130,1130,0,510,1,0,0,200,0,3,1,1,1,1977,-122.1620862,47.2974318,2
3841,599950,400,0,290,0,980,290,290,0,0,1,140,0,0,0,2,0,1,1,2019,-122.371807,47.66921,1
3842,776366,960,580,0,0,1540,0,0,0,0,0,80,0,0,0,3,0,0,2,1902,-122.3116496,47.6229816,3
3843,640000,1280,0,0,0,2150,1250,870,380,190,1,0,0,170,0,4,1,1,1,1978,-122.2436996,47.7413848,2
3844,779950,460,0,420,0,1270,390,390,0,0,1,0,60,330,0,2,0,1,1,2019,-122.305912,47.6165392,1
3845,90000,860,0,0,0,1720,860,860,0,290,1,0,0,110,0,4,0,1,1,1963,-122.3027558,47.3418292,2
3846,530000,1080,0,1020,0,2100,0,0,0,820,0,100,0,0,0,4,1,1,1,1980,-122.2306048,47.7415866,4
